focal_mm,fov_w_deg,fov_h_deg,omega_sr,sky_fraction_pct,zhr,limiting_mag,rate_per_hour_in_frame,P_at_least_one_totality_pct
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,20,0.0,0.0007641240101017762,0.0014915964894335332
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,20,2.0,0.003698360208892598,0.007219120259960299
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,20,3.0,0.008136392459563716,0.01588137664800815
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,20,4.0,0.01790006341104018,0.03493569938163299
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,43,0.0,0.001642866621718819,0.003206904947461453
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,43,2.0,0.007951474449119086,0.015520464280927015
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,43,3.0,0.01749324378806199,0.03414184177141788
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,43,4.0,0.03848513633373638,0.07509666546462457
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,100,0.0,0.0038206200505088825,0.007457759964457633
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,100,2.0,0.01849180104446299,0.03609039010625814
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,100,3.0,0.040681962297818584,0.07938166543287606
35,35.3407855146481,24.032953128537994,0.2529487436006631,4.025804289292996,100,4.0,0.0895003170552009,0.17455648923070388
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,10,0.0,0.00019382964482374788,0.0003783642749444205
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,10,2.0,0.0009381354809469401,0.0018312697872335804
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,10,3.0,0.002063898058083268,0.004028749265128084
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,10,4.0,0.00454057572778319,0.008863034137018833
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,20,0.0,0.00038765928964749576,0.0007567271182895574
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,20,2.0,0.0018762709618938803,0.003662506038981661
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,20,3.0,0.004127796116166536,0.008057336222044853
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,20,4.0,0.00908115145556638,0.017725282740288506
50,25.142533983446807,16.94944482826832,0.12832724657925476,2.0423915626460913,43,0.0,0.0008334674727421159,0.0016269562251092218
